VPN,Review Version,Techlore Score,Estimated Score,Security Score,Privacy Score,Speed Score ,Settings Score,Usage Score,Stability Score,History (S),OpenVPN,Wireguard,IP Test,DNS Test,System Killswitch,App Killswitch,IPV6 Supported/Blocked,Strongest Data Encryption,Strongest Handshake Encryption,2FA,Misleading Marketing,History (P),Logging Policy,DNS Server,Jurisdiction,14 Eyes,Warrant Canary/Transparacy Report,Analytics Concerns,Anon Payment,Anon Payment Method,Anon Signup,Helps Privacy Causes,Misleading Marketing,Synthetic Ping (ms),Synthetic Download Speed,Synthetic Upload Speed,Android Studio Download ,Google Drive Download,Windows Client?,MacOS Client?,Linux Client?,Android Client?,iOS Client?,P2P Friendly?,Simultaenous Devices,Multihop?,Total Countries,Total Servers,Affiliate Program?,User Label
ProtonVPN,2.5.0*,4.66,4.66,5,4.45,5,3,4,5,Good,Yes,No,Pass,Pass,Yes,Yes,Yes,AES 256,RSA 4096,Yes,No,Good,Timestamp,Own,Switzerland,No,Yes,No,Yes,Crypto,No,Yes,No,7,92.00%,99.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,CLI,Yes,Yes,Yes,10,Yes,44,610,Yes,Beginner
Windscribe,2.5.0,4.6,4.6,4.75,4.35,5,3.5,4,5,Good,Yes,No,Pass,Pass,Yes,No,Yes,AES 256,RSA 4096,No,No,Good,Timestamps/Bandwidth,Own,Canada,5 Eyes,Yes,No,Yes,Crypto,Yes,Yes,No,12,95.00%,100.00%,95.00%,96.00%,Yes,Yes,CLI,Yes,Yes,Yes,Unlimited,Yes,60,??,Yes,Beginner
Mullvad,2.5.0*,4.59,4.59,4.75,4.5,5,3.5,3.5,5,Good,Yes,Yes,Pass,Pass,Yes,No,Yes,AES 256,RSA 4096,No,No,Good,No Logs,Own,Sweden,14 Eyes,No,No,Yes,Cash/Crypto,Yes,Yes,No,13,94.00%,97.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,GUI,Yes,OpenVPN/Wireguard,Yes,5,Yes,35,537,No,Intermediate
Surfshark,2.5.0,4.5,4.5,4.9,4,4.5,3,4.5,5,Good,Yes,No,Pass,Pass,Yes,No,Yes,AES 256,3072-bit Diffie Hellmann,Yes,Yes,Good,No Logs,Own,British Virgin Islands,No,Yes,Yes,No,N/A,No,No,No,2.2,84.60%,99.54%,95.00%,94.75%,Yes,Yes,CLI,Yes,Yes,Yes,Unlimited,Yes,61,1040,Yes,Beginner
AirVPN,2.5.0*,4.46,4.46,4.75,4.2,3.5,5,4.5,5,Good,Yes,No,Pass,Pass,Yes,Yes,Yes,AES 256,RSA 4096,No,No,Good,No Logs,Own,Italy,14 Eyes,No,No,Yes,Crypto,No,Yes,No,26,87.00%,97.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,GUI,Yes,OpenVPN,Yes,5,No,23,246,Yes,Advanced
ProtonVPN (Free),2.5.0*,4.45,4.45,4.75,4.45,5,3,3.5,4.5,Good,Yes,No,Pass,Pass,Yes,No,Yes,AES 256,RSA 4096,No,No,Good,Timestamp,Own,Switzerland,No,Yes,No,Yes,Crypto,No,Yes,No,7,92.00%,99.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,CLI,Yes,Yes,No,10,No,3,8,Yes,Beginner
Private Internet Access (PIA),2.5.0*,4.36,4.36,4.5,3.85,4,4.5,4.5,5,Questionable,Yes,No,Pass,Pass,Yes,No,Yes,AES 256,RSA 4096,Yes,No,Good,No Logs,Own,USA,5 Eyes,No,Some,Yes,Gift Card/Crypto,No,Yes,No,11,94.00%,92.50%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,GUI,Yes,Yes,Yes,10,No,30,3335,Yes,Intermediate
TorGuard,2.5.0,4.29,4.29,4.25,3.65,4.25,4.5,4.5,5,Questionable,Yes,Yes,Pass,Pass,Yes,Yes,Yes,AES 256,RSA 2048,Yes,Yes,Good,No Logs,Own,USA,5 Eyes,No,Some,Yes,Gift Card/Crypto,No,No,Yes,0.6,92.00%,92.00%,98.00%,93.00%,Yes,Yes,GUI,Yes,Yes,Yes,5,No,55,3000,Yes,Advanced
NordVPN,2.5.0*,4.24,4.24,4.15,3.8,5,3,3.5,5,Questionable,Yes,No,Pass,Pass,Yes,Yes,Yes,AES 256,3072-bit Diffie Hellmann,No,Yes,Questionable,No Logs,Own,Panama,No,Yes,Yes,Yes,Crypto,No,Yes,Yes,16,94.00%,95.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,CLI,Yes,Yes,Yes,6,Yes,62,4432,Yes,Beginner
VyprVPN,2.5.0*,4.23,4.23,4.6,3.7,4,4,3.5,5,Good,Yes,No,Pass,Pass,Yes,??,Yes,AES 256,RSA 2048,No,No,Good,No Logs,Own,Switzerland,No,No,Yes,No,N/A,No,No,No,7.2,87.50%,93.80%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,CLI,Yes,Yes,Yes,5,No,70,??,Yes,Intermediate
ExpressVPN,2.5.0*,4.15,4.15,4.75,3.85,3,3,4,5,Good,Yes,No,Pass,Pass,Yes,No,Yes,AES 256,RSA 4096,No,No,Good,Timestamps/Bandwidth,Own,British Virgin Islands,No,No,Yes,Yes,Crypto,No,Yes,No,12,81.00%,85.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,CLI,Yes,Yes,Yes,5,No,94,3000,Yes,Beginner
CyberGhost,2.5.0*,4.14,4.14,4.75,3.5,3.5,4,3.5,5,Good,Yes,No,Pass,Pass,Yes,Yes,Yes,AES 256,RSA 4096,No,No,Questionable,No Logs,Own,Romania,No,Yes,Yes,No,N/A,No,No,No,20,90.00%,82.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,CLI,Yes,Yes,Yes,5,No,33,1000,Yes,Intermediate
TunnelBear,2.5.0*,4,4,4.75,3.65,4,2,2,5,Good,Yes,No,Pass,Pass,Yes,??,Yes,AES 256,RSA 4096,No,No,Questionable,No Logs,Own,Canada,5 Eyes,Yes,Some,Yes,Crypto,No,Yes,No,80,88.00%,93.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,OpenVPN,Yes,Yes,Yes,5,No,23,??,Yes,Beginner
IPVanish,2.5.0,3.94,3.94,4.6,2.4,4.25,3,4,5,Good,Yes,No,Pass,Pass,Yes,No,Yes,AES 256,RSA 2048,No,No,Avoid,No Logs,Own,USA,5 Eyes,No,Yes,No,N/A,No,Yes,No,13,94.00%,99.00%,96.00%,93.00%,Yes,Yes,OpenVPN,Yes,Yes,Yes,10,No,75,1300,Yes,Intermediate
StrongVPN,2.5.0*,3.8,3.8,4.6,2.4,5,4,2,4.5,Good,Yes,Yes,Pass,Pass,Yes,??,Yes,AES 256,RSA 2048,No,No,Good,No Logs,Google,USA,5 Eyes,No,Yes,No,N/A,No,Yes,No,5,97.00%,93.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,OpenVPN,Yes,Yes,No,12,No,30,950,Yes,Beginner
PureVPN,2.5.0*,3.61,3.61,4.5,2.25,3,4.5,3.5,4.5,Good,Yes,No,Pass,Pass,Yes,??,Yes,AES 256,RSA 2048,No,Yes,Questionable,Timestamps/Bandwidth,Own,Hong Kong,China,No,Yes,No,N/A,No,No,Yes,1,81.00%,83.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,CLI,Yes,Yes,No,5,No,140,750,Yes,Intermediate
SlickVPN,2.5.0*,3.53,3.53,4.35,3.95,3,3,2.5,3,Good,Yes,No,Pass,Pass,Yes,No,Yes,AES 256,??,No,Yes,Good,No Logs,Own,USA,5 Eyes,Yes,Some,Yes,Crypto,No,No,Yes,18,85.00%,96.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,OpenVPN,OpenVPN,OpenVPN,Yes,5,Yes,45,125,Yes,Intermediate
Ivacy,2.5.0*,3.33,3.33,4.75,2.75,1.5,3.5,2.5,4,Good,Yes,No,Pass,Pass,Yes,??,Yes,AES 256,RSA 4096,No,No,Questionable,No Logs,Own,Singapore,No  ,No,Some,No,N/A,No,No,No,6,58.00%,67.00%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,CLI,Yes,Yes,Yes,5,No,100,450,Yes,Intermediate
HideMyAss (HMA),2.5.0*,3.29,3.29,4.15,1.1,3,1.5,4.5,5,Good,Yes,No,Pass,Pass,No,Yes,No,AES 256,RSA 4096,No,No,Questionable,Keep Logs,Own & OpenDNS,UK,5 Eyes,Yes,Yes,No,N/A,No,No,No,0,81.60%,93.20%,N/A (Old Protocol),N/A (Old Protocol),Yes,Yes,CLI,Yes,Yes,Yes,5,No,190,870,Yes,Beginner
BlackVPN,2.5.0*,N/A,4.22,4.75,3.8,Missing,Missing,Missing,Missing,Good,Yes,No,Pass,Pass,Yes,No,Yes,AES 256,RSA 4096,No,No,Good,No Logs,Own,Hong Kong,China,No,No,Yes,Crypto,No,Yes,No,,,,,,,,,,,,7,No,,,No,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Marks review with OUTDATED or MISSING speed, settings, usage, & stability score",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,